,Name,Street Address,Postal Code,Parking Rates
605,Asian Civilisations Museum,1 Empress Place,179555,"MON-FRI Before 5/6 PM
$1.24/30min from 8am to 5.59pm  

MON-FRI After 5/6 PM
$2.06/entry from 6pm to 7.59am the following day 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
$2.06/entry from 8am to 7.59am the following day 

REMARKS
Rates shown is for the car park at New Parliament House public basement car park 

"
606,Jurong Bird Park,2 Jurong Hill,628925,"MON-FRI Before 5/6 PM
$0.60/30min from 7am to 7pm 

MON-FRI After 5/6 PM
Free parking from 7pm to 7am the following day 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
Free parking 

REMARKS
15min grace period 

"
607,NUS Bukit Timah Campus,469G Bukit Timah Road,259776,"MON-FRI Before 5/6 PM
*$0.02/min from 7am to 10.30pm, maximum charge of $2.00 for vehicles entering from 7pm to 10.30pm, 1st hr free parking for vehicles entering from 11am to 5pm 

MON-FRI After 5/6 PM
*Free parking from 10.31pm to 6.59am the following day 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
Charges same as weekdays 

REMARKS
*Parking at white parking lots only. 15min grace period for all vehicles, 30min grace period for buses, taxis and goods vehicles 

"
608,NUS Car Park 3 - Yong Siew Toh Conservatory of Music,Estate Office Drive,,"MON-FRI Before 5/6 PM
$0.0214/min from 8.30am to 7.30pm (capped at $2.568 for registered staff and students from 8.30am to 6pm) 

MON-FRI After 5/6 PM
Free parking from 7.31pm to 8.29am the following day 

SAT
$0.0214/min from 8.30am to 5pm, free parking from 5.01pm to 8.29am the following day 

SUN / PUBLIC HOLIDAYS
Free parking from 8.30am to 8.29am the following day 

REMARKS
Students and Visitors parking is at white parking lots only. 10min grace period for all vehicles 

"
609,Kembangan Plaza,18 Jalan Masjid,418944,"MON-FRI Before 5/6 PM
$1.20/hr from 8am to 5pm 

MON-FRI After 5/6 PM
$1.20/hr from 5.01pm to 11pm, $3.00/entry from 11.01pm to 7.59am the following day 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
$3.20/entry from 8am to 7.59am the following day 

"
610,The Synergy (International Business Park),1 International Business Park,609917,"MON-FRI Before 5/6 PM
$2.00 for 1st hr, $1.50 for next subsequent 30min from 7am to 10pm 

MON-FRI After 5/6 PM
$2.00/entry from 10.01pm to 7am 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
$2.00/entry from 7am to 7am the following day 

REMARKS
Season Parking At $110.00/mth 

"
611,The Strategy (International Business Park),2 International Business Park,609930,"MON-FRI Before 5/6 PM
$2.00 for 1st hr, $1.50 for next subsequent 30min from 7am to 10pm 

MON-FRI After 5/6 PM
$2.00/entry from 10pm to 7am 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
$2.00/entry from 7am to 7am the following day 

REMARKS
Season Parking At $110.00/mth 

"
612,The Signature (Changi Business Park),51 Changi Business Park Central 2,486066,"MON-FRI Before 5/6 PM
$2.00 for 1st hr, $1.50 for next subsequent 30min from 7am to 10pm 

MON-FRI After 5/6 PM
$2.00/entry from 10.01pm to 6.59pm 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
$2.00/entry from 7am to 6.59am the following day 

"
613,AMK Hub,53 Ang Mo Kio Avenue 3,569933,"MON-FRI Before 5/6 PM
$1.40 for 1st hr, $0.70 for next subsequent 30min from 7am to 7am the following day  

MON-FRI After 5/6 PM
$1.40 for 1st hr, $0.70 for next subsequent 30min from 7am to 7am the following day  

SAT
$1.50 for 1st hr, $0.75 for next subsequent 30min from 7am to 7am the following day   

SUN / PUBLIC HOLIDAYS
$1.50 for 1st hr, $0.75 for next subsequent 30min from 7am to 7am the following day  

REMARKS
Free parking at 6pm to 8pm (Fri to Sun) 

"
614,Singapore Pools Building,210 Middle Road,188994,"MON-FRI Before 5/6 PM
$0.04/min from 8am to 5pm 

MON-FRI After 5/6 PM
$0.02/min from 5pm to 8am the following day 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
$0.015/min from 8am to 11.59am, $0.02/min from 12pm to 8am the following day 

"
615,IBM Place 1,9 Changi Business Park Central 1,486048,"MON-FRI Before 5/6 PM
*Not for public 

MON-FRI After 5/6 PM
* 

SAT
* 

SUN / PUBLIC HOLIDAYS
* 

REMARKS
*Not for public 

"
616,Red Dot Design Museum,11 Marina Boulevard,018940,"MON-FRI Before 5/6 PM
$2.00/30min from 7am to 6pm 

MON-FRI After 5/6 PM
$1.60/hr from 6pm to 7am 

SAT
$2.00/30min from 7am to 1pm, $0.80/30min from 1pm to 7am the following day 

SUN / PUBLIC HOLIDAYS
$0.80/30min from 7am to 7am the following day 

REMARKS
Parking at Marina Bay Open Carpark 

"
617,Square 2,10 Sinaran Drive,307506,"MON-FRI Before 5/6 PM
$2.14 for 1st hr, $1.07 for next subsequent 30min from 7am to 6pm 

MON-FRI After 5/6 PM
$2.68/entry from 6pm to 7am the following day 

SAT
Charges same as Weekdays 

SUN / PUBLIC HOLIDAYS
$2.35 for 1st 4hr, $1.18 for next subsequent 30min from 7am to 6pm, $2.68/entry from 6pm to 7am the following day 

"
618,Singapore Discovery Centre (SDC),510 Upper Jurong Road,638365,"MON-FRI Before 5/6 PM
Free Parking 

MON-FRI After 5/6 PM
Free Parking 

SAT
Free Parking 

SUN / PUBLIC HOLIDAYS
Free Parking 

"
619,Singapore Godown,25 Tagore Lane,787602,"MON-FRI Before 5/6 PM
$1.20 for 1st hr, $0.60 for next subsequent 30min from 7am to 11pm 

MON-FRI After 5/6 PM
$2.40/entry from 11pm to 7am the following day 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
$2.40/entry from 7am to 7am the following day 

"
620,Haw Par Villa,262 Pasir Panjang Road,118628,"MON-FRI Before 5/6 PM
$5.00/entry from 7.30am to 10.30pm 

MON-FRI After 5/6 PM
$5.00/entry from 7.30am to 10.30pm 

SAT
$5.00/entry from 7.30am to 10.30pm 

SUN / PUBLIC HOLIDAYS
$5.00/entry from 7.30am to 10.30pm 

REMARKS
Free carpark during July, last entry to carpark at 9.30pm 

"
621,Changi Airport Terminal 2,60 Airport Boulevard,819643,"MON-FRI Before 5/6 PM
$0.04/min from 12midnight to 12midnight the following day 

MON-FRI After 5/6 PM
$0.04/min from 12midnight to 12midnight the following day 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
Charges same as weekdays 

REMARKS
10min Grace Period 

"
622,NTU SBS Car Park (School of Biological Sciences),50 Nanyang Avenue,639798,"MON-FRI Before 5/6 PM
$0.02/min from 8am to 6pm, maximum charge of $4.80/day 

MON-FRI After 5/6 PM
$1.20/entry from 6pm to 10pm, Free parking after 10pm 

SAT
Free Parking 

SUN / PUBLIC HOLIDAYS
Free Parking 

REMARKS
Season Parking At $55/mth, 15min grace period 

"
623,St. James Power Station,3 Sentosa Gateway,098544,"MON-FRI Before 5/6 PM
$0.80/30min from 7am to 9pm 

MON-FRI After 5/6 PM
$4.00/entry for 1st 3hr, $2.00 for subsequent hr from 9pm to 7am the following day 

SAT
$1.00/hr from 7am to 9pm, $4.00/entry for 1st 3hr, $2.00 for for subsequent hr from 5pm to 7am the following day 

SUN / PUBLIC HOLIDAYS
$1.00/hr from 7am to 9pm, $4.00/entry for 1st 3hr, $2.00 for for subsequent hr from 5pm to 7am the following day 

REMARKS
Valet parking available at a fee, 10min grace period 

"
624,HomeTeamNS Bukit Batok,2 Bukit Batok West Ave 7,659003,"MON-FRI Before 5/6 PM
(For Member): $1.28 for 1st hr, $0.32/15min block or thereafter (For Public): $1.70 for 1st hr, $0.43/15min block or thereafter from 6.01am to 5pm 

MON-FRI After 5/6 PM
(For Member): $2.08/entry, (For Public): $4.16/entry from 5.01pm to 3am the following day, (For Member): $3.00/entry, (For Public): $3.90/entry from 3.01am to 6am 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
(For Member): $2.08/entry, (For Public): $4.16/entry from 6.01am to 3am the following day, (For Member): $3.00/entry, (For Public): $3.90/entry from 3.01am to 6am 

"
625,Quality Hotel Singapore,201 Balestier Road,329926,"MON-FRI Before 5/6 PM
$2.20 for 1st hr, $1.10 for next subsequent 30min from 7am to 5pm 

MON-FRI After 5/6 PM
$2.80/entry from 5pm to 7am the following day 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
$2.80/entry from 7am to 7am the following day 

"
626,Kovan Neighbourhood Centre,209 Hougang Street 21,530209,"MON-FRI Before 5/6 PM
$0.60/30min from 7am to 11am, $0.80/30min from 11am to 2pm, $0.60/30min from 2pm to 6pm 

MON-FRI After 5/6 PM
$0.80/30min from 6pm to 9pm, $0.60/30min from 9pm to 7am the following day 

SAT
$0.80/30min from 7am to 5pm, $0.60/30min from 5pm to 7am the following day 

SUN / PUBLIC HOLIDAYS
$0.80/30min from 7am to 5pm, $0.60/30min from 5pm to 7am the following day 

REMARKS
Per minute charging, night parking capped at $5.00 from 10.30pm to 7am 

"
627,Ministry of Manpower (MOM),18 Havelock Road,059764,"MON-FRI Before 5/6 PM
Not for public 

MON-FRI After 5/6 PM
Not for public 

SAT
Not for public 

SUN / PUBLIC HOLIDAYS
Not for public 

REMARKS
Public may like to park at the nearest car park at Apollo Centre 

"
628,IKEA Tampines,60 Tampines North Drive 2,528764,"MON-FRI Before 5/6 PM
Free Parking from 7am to 11pm 

MON-FRI After 5/6 PM
Free Parking from 7am to 11pm 

SAT
Free Parking from 7am to 11pm 

SUN / PUBLIC HOLIDAYS
Free Parking from 7am to 11pm 

"
629,MCYS Building,512 Thomson Road,298136,"MON-FRI Before 5/6 PM
$0.80/30min from 7.30am to 6pm  

MON-FRI After 5/6 PM
$1.60/entry from 6.01pm to 7.30am the following day  

SAT
$1.60/entry from 7.30am to 12midnight, $2.00/entry from 12midnight to 7.30am the following day  

SUN / PUBLIC HOLIDAYS
$1.60/entry from 7.30am to 12midnight, $2.00/entry from 12midnight to 7.30am the following day  

REMARKS
15min grace period 

"
630,VivoCity,1 HarbourFront Walk,098585,"MON-FRI Before 5/6 PM
$1.20 for 1st hr, $0.60 for next subsequent 30min from 7am to 6pm 

MON-FRI After 5/6 PM
$3.00/entry from 6pm to 4am the following day, $2.50/hr from 4am to 7am 

SAT
$1.40 for 1st hr, $0.70 for next subsequent 30min from 7am to 6pm, $3.50/entry from 6pm to 4am the following day, $2.50/hr from 4am to 7am 

SUN / PUBLIC HOLIDAYS
$1.40 for 1st hr, $0.70 for next subsequent 30min from 7am to 6pm, $3.50/entry from 6pm to 4am the following day, $2.50/hr from 4am to 7am 

REMARKS
10min grace period, the weekend/PH rates applies to eve of PH as well 

"
631,PIL Building,140 Cecil Street,069540,"MON-FRI Before 5/6 PM
Private Car Park 

MON-FRI After 5/6 PM
Private Car Park 

SAT
Private Car Park 

SUN / PUBLIC HOLIDAYS
Private Car Park 

"
632,Camden Medical Centre,1 Orchard Boulevard,248649,"MON-FRI Before 5/6 PM
$3.00 for 1st hr, $1.50 for next subsequent 30min from 7am to 10am & 12pm to 6pm, $4.00 for 1st hr, $2.00 for next subsequent 30min from 10am to 12pm 

MON-FRI After 5/6 PM
$4.00/entry from 6pm to 7am the following day 

SAT
$3.00 for 1st hr, subsequently $1.50/30min from 7am-10am & 12pm-1pm, $4.00 for 1st hr, subsequently $2.00/30min from 10am-12pm, $4.00/entry from 6pm to 7am the following day 

SUN / PUBLIC HOLIDAYS
$4.00/entry from 7am to 7am the following day 

REMARKS
10min grace period 

"
633,Hougang Green Shopping Mall,21 Hougang Street 51,538719,"MON-FRI Before 5/6 PM
$1.07 for 1st hr, $0.55 for next subsequent 30min from 7am to 4.59pm 

MON-FRI After 5/6 PM
$1.20/entry from 5pm to 6.59am the following day 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
$2.15/entry from 7am to 12midnight, $1.20/entry from 12midnight to 6.59am the following day 

"
634,Noel Corporate Building,50 Kallang Avenue,339505,"MON-FRI Before 5/6 PM
$2.14 for 1st hr, $1.20 for next subsequent 30min from 8am to 5pm 

MON-FRI After 5/6 PM
$2.14 for 1st hr, $1.20 for next subsequent 30min from 5pm to 8am the following day 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
Charges same as weekdays 

REMARKS
10min grace period 

"
635,Singapore Zoo / Singapore Night Safari,80 Mandai Lake Road,729826,"MON-FRI Before 5/6 PM
$3.00 for 1st hr, $2.00 for next subsequent hr from 8.30am to 6pm (Capped at $10/entry) 

MON-FRI After 5/6 PM
$3.00 for 1st hr, $2.00 for next subsequent hr from 8.30am to 6pm (Capped at $10/entry) 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
Charges same as weekdays 

REMARKS
Multi Storey Carpark is Closed until September 2019 for upgrading, 10min grace period, Cars without IU and valid cashcard is $10.00/entry 

"
636,Civil Service College,31 North Buona Vista Road,275983,"MON-FRI Before 5/6 PM
$1.20/hr for the 1st 5hr, $9.00/entry for parking more than 5 hr 

MON-FRI After 5/6 PM
$1.20/hr from 6pm to 10.30pm 

SAT
$1.20/hr from 8am to 10.30pm 

SUN / PUBLIC HOLIDAYS
Closed 

"
637,Mandarin Orchard Singapore,333 Orchard Road,238867,"MON-FRI Before 5/6 PM
$3.60 for 1st hr, $0.06 for next subsequent min from 6am to 6pm 

MON-FRI After 5/6 PM
$3.60 for 1st hr, $0.04 for next subsequnet min from 6pm to 6am the following day 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
Charges same as weekdays 

REMARKS
Valet parking available at $7.00 before 6pm, $12.00 after 6pm, in addition to the usual parking charges 

"
638,PWC Building,8 Cross Street,048424,"MON-FRI Before 5/6 PM
$2.60/30min from 6am to 6pm  

MON-FRI After 5/6 PM
$3.20/entry from 6pm to 6am the following day    

SAT
$3.20/entry from 6am to 8pm, Carpark Closed after 8pm  

SUN / PUBLIC HOLIDAYS
$3.20/entry from 6am to 8pm, Carpark Closed after 8pm  

"
639,Young Men's Christian Association Of Singapore (YMCA),1 Orchard Road,238824,"MON-FRI Before 5/6 PM
$1.00/30min from 7am to 6pm 

MON-FRI After 5/6 PM
$5.00/entry from 6.01pm to 6.59am the following day 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
$5.00/entry from 12.01am to 6.59am the following day 

REMARKS
10min grace period 

"
640,Rochor Centre,1 Rochor Road,180001,"MON-FRI Before 5/6 PM
Carpark closed 

MON-FRI After 5/6 PM
Carpark closed 

SAT
Carpark closed 

SUN / PUBLIC HOLIDAYS
Carpark closed 

"
641,Changi Ferry Terminal,30 Changi Ferry Road,499675,"MON-FRI Before 5/6 PM
Free Parking 

MON-FRI After 5/6 PM
Free Parking 

SAT
Free Parking 

SUN / PUBLIC HOLIDAYS
Free Parking 

REMARKS
Car Park Open To Travellers Only 

"
642,Ministry of Education Building (MOE),1 North Buona Vista Drive,138675,"MON-FRI Before 5/6 PM
$1.80 for 1st 2hr, $3.00 for next subsequent hr from 7am to 5pm 

MON-FRI After 5/6 PM
$1.80 for 1st 2hr, $3.00 for next subsequent hr from 5pm to 7am the following day 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
Charges same as weekdays 

REMARKS
Operation hours are from 8am to 9pm on Mondays to Saturdays, and 8am to 10pm on Sundays and Public Holidays, 10min grace period 

"
643,Singapore Botanic Gardens,1 Cluny Road,259569,"MON-FRI Before 5/6 PM
$0.02/min from 7am to 10.30pm 

MON-FRI After 5/6 PM
$0.02/min up to a maximum cap of $2.00 for entry between 7pm to 10.30pm 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
Charges same as weekdays 

REMARKS
15min grace period, Singapore Botanic Gardens is closed from 12midnight to 5am daily, no overnight parking is allowed 

"
644,Safra Mount Faber,2 Telok Blangah Way,098803,"MON-FRI Before 5/6 PM
(For Member): $1.25/hr, $0.32 for next subsequent 15min (For Public): $2.30/hr, $0.58 for next subsequent 15min from 6am to 5.59pm 

MON-FRI After 5/6 PM
(For Member): $2.40/entry, (For Public): $4.00/entry from 6pm to 5.59am the following day 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
(For Member): $2.40/entry, (For Public): $4.00/entry from 6am to 5.59am the following day 

"
645,The Atrium @ Orchard,60 Orchard Road,238889,"MON-FRI Before 5/6 PM
$1.60 for 1st hr, $0.50 for next subsequent 15min from 12midnight to 5.59pm from Mon to Thur, $2.57 for 1st 2hr, $0.50 for next subsequent 15min from 12midnight to 5.59pm on Fri an 

MON-FRI After 5/6 PM
$3.00/entry from 6pm to 11.59pm from Mon to Thurs, $2.57/entry from 6pm to 2.59am the following day on Fri and Eve of PH 

SAT
$3.00 for 1st 2hr, $0.50 for next subsequent 15min from 3am to 5.59pm, $2.57/entry from 6pm to 2.59am the following day 

SUN / PUBLIC HOLIDAYS
$3.00 for 1st 2hr, $0.50 for next subsequent 15min from 3am to 5.59pm, $2.57/entry from 6pm to 11.59pm 

REMARKS
10min grace period, Season Parking At $181.90/mth 

"
646,Shaw Leisure Gallery,100 Beach Road,189702,"MON-FRI Before 5/6 PM
$1.07 for 1st hr, $1.07 for next subsequent 30min from 12midnight to 5pm 

MON-FRI After 5/6 PM
$2.14/entry from 5pm to 12midnight 

SAT
$2.14/entry from 12midnight to 12midnight the following day  

SUN / PUBLIC HOLIDAYS
$2.14/entry from 12midnight to 12midnight the following day  

REMARKS
Season Parking At $150.00/mth 

"
647,Riverside Point,30 Merchant Road,058282,"MON-FRI Before 5/6 PM
$2.30 for 1st hr, $1.00 for next subsequent 30min from 6am to 5pm 

MON-FRI After 5/6 PM
$3.50/entry from 5pm to 6am the following day 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
$3.50/entry from 6am to 6am the following day 

REMARKS
Number not in use 

"
648,Great Eastern Centre,1 Pickering Street,048659,"MON-FRI Before 5/6 PM
$1.80/30min from 8am to 6pm 

MON-FRI After 5/6 PM
$3.30/entry from 6pm to 7.59am the following day 

SAT
$3.30/entry from 6am to 8am the following day 

SUN / PUBLIC HOLIDAYS
$3.30/entry from 8am to 5.59am the following day 

REMARKS
Use Car Park at China Square Central, Season Parking at $235.40/mth, Grace period of 15min, Basement 2 Car Park closed from 12midnight to 6am daily 

"
649,Nankin Row,3 Pickering Street,048660,"MON-FRI Before 5/6 PM
$1.80/30min from 8am to 5.59pm 

MON-FRI After 5/6 PM
$3.00/entry from 6pm to 7.59am the following day 

SAT
$3.00/entry from 8am to 5.59pm, $3.00/entry from 6pm to 7.59am the following day 

SUN / PUBLIC HOLIDAYS
$3.00/entry from 8am to 5.59pm, $3.00/entry from 6pm to 7.59am the following day 

REMARKS
Use Car Park at China Square Central, 15min grace period, Season Parking At $288.90/mth, Basement 2 Car Park closed from 12am to 6am daily 

"
650,South Bridge Court,22 Cross Street,048421,"MON-FRI Before 5/6 PM
$1.80/30min from 8am to 5.59pm 

MON-FRI After 5/6 PM
$3.00/entry from 6pm to 7.59am the following day 

SAT
$3.00/entry from 8am to 5.59pm, $3.00/entry from 6pm to 7.59am the following day 

SUN / PUBLIC HOLIDAYS
$3.00/entry from 8am to 5.59pm, $3.00/entry from 6pm to 7.59am the following day 

REMARKS
Use Car Park at China Square Central, 15min grace period, Season Parking At $288.90/mth, Basement 2 Car Park closed from 12am to 6am daily 

"
651,China Court,20 Cross Street,048422,"MON-FRI Before 5/6 PM
$1.80/30min from 8am to 5.59pm 

MON-FRI After 5/6 PM
$3.00/entry from 6pm to 7.59am the following day 

SAT
$3.00/entry from 8am to 5.59pm, $3.00/entry from 6pm to 7.59am the following day 

SUN / PUBLIC HOLIDAYS
$3.00/entry from 8am to 5.59pm, $3.00/entry from 6pm to 7.59am the following day 

REMARKS
Use Car Park at China Square Central, 15min grace period, Season Parking At $288.90/mth, Basement 2 Car Park closed from 12am to 6am daily 

"
652,Marsh and McLennan Centre,18 Cross Street,048423,"MON-FRI Before 5/6 PM
$1.80/30min from 8am to 5.59pm 

MON-FRI After 5/6 PM
$3.00/entry from 6pm to 7.59am the following day 

SAT
$3.00/entry from 8am to 5.59pm, $3.00/entry from 6pm to 7.59am the following day 

SUN / PUBLIC HOLIDAYS
$3.00/entry from 8am to 5.59pm, $3.00/entry from 6pm to 7.59am the following day 

REMARKS
Use Car Park at China Square Central, 15min grace period, Season Parking At $288.90/mth, Basement 2 Car Park closed from 12am to 6am daily 

"
653,Marina South Pier (MSP),31 Marina Coastal Drive,018988,"MON-FRI Before 5/6 PM
$2.20/hr for 1st 2hr, $3.30 for next subsequent hr from 7am to 10.30pm 

MON-FRI After 5/6 PM
$3.30/entry from 10.30pm to 7am the following day 

SAT
$2.20/hr for 1st 2hr, $3.30 for next subsequent hr from 7am to 10.30pm, $3.30/entry from 10.30pm to 7am the following day 

SUN / PUBLIC HOLIDAYS
$2.20/hr for 1st 2hr, $3.30 for next subsequent hr from 7am to 10.30pm, $3.30/entry from 10.30pm to 7am the following day 

REMARKS
10min Grace period 

"
654,Fook Hai Building,150 South Bridge Road,058727,"MON-FRI Before 5/6 PM
$1.40/30min from 7.30am to 5pm 

MON-FRI After 5/6 PM
$3.00/entry from 5pm to 7.30am 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
$3.00/entry from 7am to 7am the following day 

"
655,Rivervale Mall,11 Rivervale Crescent,545082,"MON-FRI Before 5/6 PM
$1.28 for 1st hr, $0.64 for next subsequent 30min from 12midnight to 11.59pm 

MON-FRI After 5/6 PM
$1.28 for 1st hr, $0.64 for next subsequent 30min from 12midnight to 11.59pm 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
Charges same as weekdays 

REMARKS
10min grace period, Season Parking at $107.00/mth 

"
656,Singapore Science Centre,15 Science Centre Road,609081,"MON-FRI Before 5/6 PM
$0.60/30min from 7am to 6pm  

MON-FRI After 5/6 PM
$0.60/30min from 6pm to 7am the following day  

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
Charges same as weekdays 

REMARKS
10min grace period 

"
657,Certis CISCO Centre,20 Jalan Afifi,409179,"MON-FRI Before 5/6 PM
$1.60/30min from 7am to 6pm  

MON-FRI After 5/6 PM
$1.20/30min from 6pm to 7am the following day  

SAT
$1.00/30min from 7am to 7am the following day   

SUN / PUBLIC HOLIDAYS
$1.00/30min from 7am to 7am the following day   

"
658,Creative Technologies,31 International Business Park,609921,"MON-FRI Before 5/6 PM
$2.14 for 1st hr, $1.60 for next subsequent 30min from 8am to 7pm 

MON-FRI After 5/6 PM
$2.14 for 1st hr, $1.60 for next subsequent 30min from 7pm to 8am the following day 

SAT
Free parking 

SUN / PUBLIC HOLIDAYS
Free parking 

REMARKS
Maximum cap of $25.00 daily. 

"
659,Bukit Batok Driving Centre (BBDC),815 Bukit Batok West Avenue 5,659085,"MON-FRI Before 5/6 PM
$2.00/hr 

MON-FRI After 5/6 PM
$2.00/hr 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
Charges same as weekdays 

"
660,Revenue House (IRAS),55 Newton Road,307987,"MON-FRI Before 5/6 PM
$0.45/15min from 6am to 6pm 

MON-FRI After 5/6 PM
$2.20/entry from 6pm to 11pm 

SAT
$0.45/15min from 6am to 1.30pm, $1.60/entry from 1.30pm to 11pm 

SUN / PUBLIC HOLIDAYS
$1.60/entry from 6am to 11pm 

"
661,Winsland House 2,163 Penang Road,238463,"MON-FRI Before 5/6 PM
$2.50 for 1st hr, $1.20 for next subsequent 30min from 7am to 7pm 

MON-FRI After 5/6 PM
$3.50/entry from 7pm to 11pm, $3.50/entry from 11pm to 7am the following day 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
$4.50/entry from 7.00am to 11pm $3.50/entry from 11pm to 7am the following day 

"
662,Winsland House 1,3 Killiney Road,239519,"MON-FRI Before 5/6 PM
$2.50 for 1st hr, $1.20 for next subsequent 30min from 7am to 7pm  

MON-FRI After 5/6 PM
$3.50/entry from 7pm to 11pm, $3.50/entry from 11pm to 7am the following day  

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
$4.50/entry from 7.00am to 11pm $3.50/entry from 11pm to 7am the following day 

"
663,City Plaza,810 Geylang Road,409286,"MON-FRI Before 5/6 PM
$1.20 for 1st hr, $0.70 for next subsequent 30mins from 8am to 4.59pm 

MON-FRI After 5/6 PM
$1.50/entry from 5pm to 7.59am the following day 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
$1.50/entry all day 

"
664,NTU Car Park B (South Academic Complex),50 Nanyang Avenue,639798,"MON-FRI Before 5/6 PM
$0.02/min from 8am to 6pm, maximum charge of $4.80/day 

MON-FRI After 5/6 PM
$1.20/entry from 6pm to 10pm, Free parking after 10pm 

SAT
Free Parking 

SUN / PUBLIC HOLIDAYS
Free Parking 

REMARKS
Season Parking At $55/mth, 15min grace period 

"
665,NTU Car Park A (North Academic Complex),50 Nanyang Avenue,639798,"MON-FRI Before 5/6 PM
$0.02/min from 8am to 6pm 

MON-FRI After 5/6 PM
$1.20/entry from 6pm to 10pm, Free parking after 10pm 

SAT
Free Parking 

SUN / PUBLIC HOLIDAYS
Free Parking 

REMARKS
Season Parking At $55/mth, 15min grace period 

"
666,Odeon Towers,331 North Bridge Road,188720,"MON-FRI Before 5/6 PM
$2.20 for 1st hr, $1.10 for subsequent 30min from 7am to 5pm 

MON-FRI After 5/6 PM
$2.20/entry from 5pm to 7am the following day 

SAT
$2.20 for 1st hr, $0.90 for subsequent 30min from 7am to 5pm, $2.20/entry from 5pm to 7am the following day 

SUN / PUBLIC HOLIDAYS
$2.20 for 1st hr, $0.90 for next subsequent 30min from 7am to 5pm, $2.20/entry from 5pm to 7am the following day  

REMARKS
10min grace period applicable only during hourly parking period 

"
667,Beauty World Plaza,140 Upper Bukit Timah Road,588176,"MON-FRI Before 5/6 PM
$1.40 for 1st hr, $0.70 for next subsequent 30min from 7am to 5pm  

MON-FRI After 5/6 PM
$2.40/entry from 5pm to 7am the following day 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
$2.40/entry from 7am to 7am the following day  

"
668,UE Square,81 Clemenceau Avenue,239917,"MON-FRI Before 5/6 PM
$2.00 for 1st hr, $1.00 for next subsequent 1hr from 8am to 5pm 

MON-FRI After 5/6 PM
$3.00/entry from 5pm to 8am the following day 

SAT
$2.00 for 1st hr, $1.00 for next subsequent 1hr from 8am to 1pm, $3.00/entry from 1pm to 7.59am the following day 

SUN / PUBLIC HOLIDAYS
$3/entry from 8am to 8am the following day 

"
669,Junction 10,1 Woodlands Road,677899,"MON-FRI Before 5/6 PM
$1.07 for 1st hr, $0.32 for next subsequent 15min from 8am to 5pm 

MON-FRI After 5/6 PM
$1.07 for 1st hr, $0.32 for next subsequent 15min from 5pm to 8am the following day 

SAT
$2.14 for 1st 2hr, $0.32 for next subsequent 15min from 8am to 8am the following day 

SUN / PUBLIC HOLIDAYS
$2.14 for 1st 2hr, $0.32 for next subsequent 15min from 8am to 8am the following day 

"
670,Changi Budget Terminal,30 Airport Boulevard,819662,"MON-FRI Before 5/6 PM
Carpark closed  

MON-FRI After 5/6 PM
Carpark closed   

SAT
Carpark closed   

SUN / PUBLIC HOLIDAYS
Carpark closed 

REMARKS
Carpark closed 

"
671,Parkroyal@Kitchener Road (4th Floor),181 Kitchener Road,208533,"MON-FRI Before 5/6 PM
$3.00 for 1st hr, $0.75 for next subsequent 15min from 7am to 5pm 

MON-FRI After 5/6 PM
$4.90/entry from 5pm to 7am the following day 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
$4.90/entry from 7am to 7am the following day 

REMARKS
Season Parking at $150/mth and $450/quarter 

"
